epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4254,2.49072,5.05,2.15458,0.26484,0.22328,0.04616,0.02679,1.40094,9.9587,1.3014,0.00010013,0.00010013,0.00010013
2,20.2376,1.38247,2.87921,1.29043,0.38336,0.39414,0.28166,0.20415,1.16643,2.82828,1.1843,0.000193417,0.000193417,0.000193417
3,29.0113,1.29,2.22402,1.20774,0.85477,0.35991,0.50862,0.3464,1.14674,2.04199,1.16525,0.000276472,0.000276472,0.000276472
4,37.7731,1.24656,1.79921,1.17187,0.52651,0.67843,0.62566,0.4311,1.09579,1.22442,1.12608,0.000275035,0.000275035,0.000275035
5,46.5899,1.19275,1.54028,1.14219,0.71842,0.71115,0.73945,0.5222,1.05296,1.03582,1.13465,0.000259046,0.000259046,0.000259046
6,55.4175,1.15833,1.36657,1.11533,0.75238,0.74555,0.85003,0.58947,1.08036,0.92876,1.11346,0.000243057,0.000243057,0.000243057
7,64.2421,1.12861,1.2119,1.11776,0.8046,0.84123,0.90665,0.6432,1.01128,0.77438,1.08785,0.000227069,0.000227069,0.000227069
8,73.0414,1.09751,1.09353,1.0909,0.88694,0.84261,0.92175,0.65712,1.03074,0.80075,1.09274,0.00021108,0.00021108,0.00021108
9,81.8992,1.03608,1.01936,1.06836,0.82528,0.90683,0.93783,0.67495,1.0087,0.75563,1.09462,0.000195092,0.000195092,0.000195092
10,90.7758,1.06051,0.9683,1.06972,0.89527,0.89653,0.94811,0.68813,1.03541,0.71884,1.09922,0.000179103,0.000179103,0.000179103
11,101.272,1.02596,0.89841,1.10341,0.91056,0.91835,0.95371,0.68591,1.0138,0.69834,1.08176,0.000163115,0.000163115,0.000163115
12,110.115,0.9899,0.83841,1.08488,0.9306,0.88869,0.94794,0.69414,0.9749,0.69922,1.06707,0.000147126,0.000147126,0.000147126
13,119.108,1.00521,0.81966,1.09941,0.91431,0.91682,0.96246,0.7152,0.93516,0.6498,1.04963,0.000131138,0.000131138,0.000131138
14,128.127,0.95348,0.75049,1.05538,0.94247,0.9217,0.96386,0.72295,0.93687,0.61115,1.04209,0.000115149,0.000115149,0.000115149
15,137.324,0.92933,0.72887,1.03953,0.90671,0.93239,0.96343,0.7315,0.93771,0.62337,1.03219,9.9161e-05,9.9161e-05,9.9161e-05
16,146.506,0.92506,0.71709,1.03964,0.93784,0.93112,0.96762,0.72882,0.92185,0.59232,1.02708,8.31725e-05,8.31725e-05,8.31725e-05
17,155.658,0.91905,0.68183,1.03372,0.9469,0.9301,0.97121,0.73617,0.91633,0.57313,1.03051,6.7184e-05,6.7184e-05,6.7184e-05
18,164.892,0.89042,0.66743,1.01456,0.93811,0.93169,0.97144,0.73699,0.89034,0.56377,1.01687,5.11955e-05,5.11955e-05,5.11955e-05
19,174.042,0.89084,0.65811,1.02305,0.92854,0.94658,0.96893,0.74172,0.8889,0.56563,1.01852,3.5207e-05,3.5207e-05,3.5207e-05
20,183.266,0.86729,0.62975,1.00466,0.94788,0.92195,0.97079,0.74697,0.87367,0.55508,1.01259,1.92185e-05,1.92185e-05,1.92185e-05
