epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1105.11,1.15077,0.69697,1.1301,0.96104,0.93265,0.96487,0.6582,1.14867,0.50725,1.07738,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225
2,2155.32,1.10465,0.54423,1.10604,0.9751,0.94852,0.97327,0.67726,1.11912,0.44574,1.06704,0.0192049,0.00640163,0.0192049,0.00640163,0.0192049,0.00640163,0.0192049,0.00640163
3,3148.36,1.11633,0.56312,1.11762,0.9775,0.93713,0.96979,0.67531,1.11312,0.45951,1.06378,0.027621,0.00920701,0.027621,0.00920701,0.027621,0.00920701,0.027621,0.00920701
4,4141.29,1.10529,0.54918,1.10996,0.98389,0.9462,0.97501,0.69182,1.09525,0.41798,1.0469,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,5135.88,1.05341,0.49659,1.08531,0.98682,0.95488,0.97861,0.7031,1.0772,0.38897,1.04227,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,6129.28,1.02485,0.46911,1.06972,0.98148,0.95854,0.97913,0.71269,1.05886,0.37132,1.03242,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,7124.82,0.99771,0.44853,1.05515,0.98354,0.959,0.98025,0.71351,1.06215,0.36286,1.03306,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,8119.94,0.98028,0.43351,1.04444,0.98153,0.9672,0.98074,0.71546,1.06689,0.35663,1.03246,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,9113.71,0.9593,0.42162,1.03433,0.98154,0.96868,0.98345,0.71697,1.06759,0.35212,1.03339,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,10106,0.94032,0.40841,1.02785,0.9811,0.96446,0.98234,0.71706,1.06746,0.35162,1.03387,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,11099.9,0.9253,0.39987,1.01988,0.97918,0.96427,0.98155,0.71696,1.06865,0.35053,1.03393,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,12093.1,0.90897,0.3897,1.01288,0.97787,0.9662,0.98129,0.71712,1.06992,0.34819,1.03507,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,13086.4,0.89331,0.38085,1.00537,0.98038,0.96446,0.98123,0.71745,1.07006,0.34736,1.03536,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,14079,0.87717,0.37293,0.99733,0.981,0.96436,0.9816,0.71764,1.06922,0.3465,1.03566,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,15072.5,0.86105,0.36486,0.99096,0.98682,0.95945,0.98142,0.71812,1.06931,0.34463,1.03547,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,16080.2,0.82267,0.32549,0.9875,0.98666,0.95763,0.98108,0.71874,1.06856,0.34366,1.03577,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,17068.2,0.79468,0.31399,0.97354,0.98763,0.95854,0.98113,0.71988,1.06943,0.3428,1.0364,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,18056.2,0.76639,0.30253,0.95851,0.98639,0.95734,0.98114,0.7206,1.07132,0.34322,1.03732,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,19044.4,0.74131,0.29272,0.94855,0.97912,0.96148,0.98081,0.71967,1.07361,0.34408,1.03853,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,20032.3,0.71329,0.28331,0.93417,0.97775,0.96087,0.98059,0.71912,1.07629,0.34579,1.04047,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,21020,0.68363,0.2712,0.92164,0.97773,0.96001,0.98058,0.71833,1.07997,0.34662,1.04253,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,22007.5,0.65723,0.26166,0.91126,0.97948,0.95684,0.98062,0.71839,1.08281,0.3483,1.04508,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,22994.7,0.62648,0.24961,0.89941,0.98081,0.95488,0.97947,0.7184,1.08632,0.35024,1.04769,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,23983,0.59965,0.23912,0.88804,0.98082,0.95503,0.97896,0.71784,1.08943,0.35336,1.05057,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,24971.7,0.57692,0.22918,0.87885,0.97851,0.95718,0.97857,0.71755,1.09325,0.35516,1.05459,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
